text,hatespeech_comb,hatespeech_G1,annotator_G1,hatespeech_G2,annotator_G2,hatespeech_G3,annotator_G3,pre_processed_text
"@__andrea__b 
O cara vive em outro mundo
Não no mundo real
REFUGIADOS são os que vivem
Nas favelas vizinhas as suas fortalezas",1,1,A,1.0,V,0,E,cara vive outro mundo mundo real refugiados vivem favelas vizinhas fortalezas
@_carmeloneto Estes incompetentes não cuidam nem do povo brasileiro e nem dos poucos refugiados que aqui estão.,0,1,D,0.0,V,0,C,incompetentes cuidam povo brasileiro poucos refugiados aqui
"@_carmeloneto 
Os 'cumpanhero' quebraram todas as regras.",0,1,A,0.0,B,0,E,cumpanhero quebraram toda regras
@_GlitteryKisses é isso não conseguem pensar no sentido lato para além do que se vê a frente dos olhos,0,0,C,0.0,V,0,D,conseguem pensar sentido lato além vê frente olhos
@_iglira bom dia macaco branco haha,1,0,A,1.0,I,1,E,bom dia macaco branco haha
@_Ioen imagino...  ow mandei fazer um body opressor pra Duda! hahahaha,0,0,B,0.0,V,0,C,imagino ow mandei fazer body opressor pra duda hahahaha
@_Ioen parabéns brou! Menina é bom demais!,0,0,E,0.0,B,0,C,parabéns brou menina bom demais
"@_Ioen PARABÉNS IRMÃO, SAÚDE E #PAZ. AMÉM.",0,0,B,0.0,Dani,0,A,parabéns irmão saúde paz amém
"@_jujuba_lima Ah, convivendo apenas comigo esse fds... Precisava disso... Pensando em mtas coisas e trabalhando no meio disso rs.",0,0,A,0.0,I,0,A,ah convivendo apenas comigo fds precisava disso pensando mtas coisas trabalhando meio disso r
@_jujuba_lima E o sono... rs. Cheiros. Tb adorei!,0,0,C,0.0,B,0,C,sono r cheiros tb adorei
"@_jujuba_lima Oww, linda.. trabalho amanhã =/ dó",0,0,B,0.0,It,0,C,oww linda trabalho amanhã dó
"@_jujuba_lima que baummm hein, tem coisa mais gostosa? Eu ando reflexiva.. mas, enmm paz. Tb mto bom!",0,0,A,0.0,It,0,B,baummm hein coisa gostosa ando reflexiva enmm paz tb mto bom
"@_jujuba_lima SOu nada, faço o básico hahaha",0,0,D,0.0,It,0,B,nada faço básico hahaha
"@_jujuba_lima Taí, sou ótima com sobremesas, doces, bolos...",0,0,A,0.0,I,0,E,taí ótima sobremesas doces bolo
"@_kcris Não deixe as lembranças e saudades te minarem. Enfrente, ouça músicas.. (Essa é linda msm). Conhece The Corrs?",0,0,A,0.0,S,0,C,deixe lembranças saudades minarem enfrente ouça músicas linda msm conhece the corrs
"@_kcris OUvindo a música Preciso de vc.. Excelente, linda! Foda, pq tô separando. PQP...",0,1,A,0.0,It,0,E,ouvindo música preciso vc excelente linda foda pq tô separando pqp
@_latinlover_ cedemos ao encanto e caímos de boca meu caro!,0,0,E,0.0,B,0,D,cedemos encanto caímos boca caro
@_latinlover_ Perfume pra mão jovem amante.....pra mão. Cappice?,1,1,D,1.0,It,0,E,perfume pra mão jovem amantepra mão cappice
@_Nabarra 'Estimo que se foda' será mais profissional.,1,1,D,0.0,B,1,B,estimo foda profissional
@_NandaSilva_ bom dia sapatao da minha vida,1,1,A,1.0,Dani,1,C,bom dia sapatao vida
@_opressor falei isso desde ontem ..kkkk https://t.co/UYYWi7iJ33,0,1,A,0.0,Dani,0,C,falei desde ontem kkkk httpstcouyywiij
"@_SsarahA @Ebandeira_ isso n ta errado, mas épesquisa de gente burra, a mulher trabalha menos que o homem",1,1,B,1.0,I,1,B,n ta errado épesquisa gente burra mulher trabalha menos homem
@_TheEarlyBird @JOAQUINVOLTOU e que tal uma linha de bonés??  https://t.co/iHrd5qTIH6,0,0,A,0.0,It,0,A,tal linha bonés httpstcoihrdqtih
"[9/3 09:11] jhu : Bom viado mais lindo
[9/3 09:11] Dj Luizinho: Bom dia sapatão mais gostoza",1,1,A,1.0,It,0,D,jhu bom viado lindo dj luizinho bom dia sapatão gostoza
[ENEM] Questão 1: OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO ( ) SOMETIMES ( ) VIDA DE GADO ( ) ANA JULIA ( ) PA GANGNAM STYLE,0,1,A,0.0,V,0,E,enem questão oooooooooooooooooooooooooooooooooooooooooooooo sometimes vida gado ana julia pa gangnam style
"[EXTRA] Imagine se fosse um branco fazendo isso com um muçulmano, seria notícia no país inteiro https://t.co/1PUC6Uj0gc",1,1,D,0.0,I,1,B,extra imagine branco fazendo muçulmano notícia país inteiro httpstcopucujgc
[EXTRAOFICIAL] O terrorista do Louvre é um egípcio de 29 anos que chegou na França mês passado. Equipe. https://t.co/xLvxIyGJ8I,0,1,A,0.0,B,0,A,extraoficial terrorista louvre egípcio ano chegou frança mês passado equipe httpstcoxlvxiygji
"[FUTEBOL]
Escolinha da ADC Santana Adc é Pedreira na Copa Rio Branco em Amparo https://t.co/7JnhURaOPd",0,0,A,0.0,I,0,C,futebol escolinha adc santana adc pedreira copa rio branco amparo httpstcojnhuraopd
"18:40] Max: Vai tomar no teu cu então
18:40] Max: Sua gorda feia
18:40] Max  :Meu amor por você
18:41] Leticia: Eu sou gorda Maxwell?",1,1,E,1.0,V,1,C,max vai tomar cu então max gorda feia max amor leticia gorda maxwell
Ê lá em casa https://t.co/rAHYwfvkAx,0,0,B,0.0,I,0,E,ê lá casa httpstcorahywfvkax
@a_angioletti @JOAQUINVOLTOU DEIXA EU ADIVINHAR...PÉSSIMA RELAÇÃO COM O PAI? GORDA FEIA SEQUER ASSEDIADA POR ALGUÉM?ACHO QUE OS DOIS HEIN...,1,1,E,1.0,V,1,B,deixa adivinharpéssima relação pai gorda feia sequer assediada alguémacho doi hein
aaaaaaa eu quero falar no meu trabalho sobre refugiados mas não sei se vou conseguir,0,0,B,1.0,It,0,A,aaaaaaa quero falar trabalho sobre refugiados sei vou conseguir
